prompt,response
Atlantic coast,"All of the oysters in North America, from Louisiana and the Gulf of Mexico, up the coast of Florida, in the Chesapeake Bay, in New York City, Long Island, Long Island Sound, Wellfleet, Maine, Nova Scotia, and even beyond, are biologically identical. They are all the same family, genus, and species—Ostreidae Crassostrea virginica. The fact that all these Crassostrea virginicas along the Atlantic coast vary in size, shape, color, and taste is simply proof that with oysters, as with wine, the deciding factor is not the variety, but where it is planted and how it is grown. Water temperature is critical. Oysters grow faster in warm water, although the length of time they are left to grow is also important. Colder water tends to produce oysters that fans call more flavorful and detractors call too strong. Northerners tend to find Southern oysters large and bland and Southerners find Northern oysters small and harsh. In addition to temperature, oysters are altered by many factors including the salinity of the water, the type of food available in the water, the structure of the seabed, and the degree of crowding."
New York Hudson estuary,"Crassostrea thrive in warm, brackish water in intertidal and subtidal areas along shorelines where there is fresh water flowing from rivers that are rich in organic matter."
New York Harbor,"Oysters under normal conditions feed continually, and between twenty and fifty gallons of seawater are moved through a single oyster’s gills every day. Assuming the water is in fairly good condition, oysters serve a natural function, filtering and cleaning the water. It has been found that a few oysters placed in a tank of algae- and phytoplankton-laden green water will make the water clear in only a few hours. The original oyster population of New York Harbor was capable of filtering all of the water in the harbor in a matter of days."
New York Harbor,"It took a remarkably long time, well into the nineteenth century in America, to understand that the best thing to do with oyster shells was not make wampum, burn them for lime, or use them for roadfill, but to dump them back into the oyster beds. This became clear with the study of oyster physiology. The mantle that sends out warnings to the oyster brain also creates the shell. It produces a first pearly layer of shell and throughout the animal’s life constantly creates new shells, each a little larger than the one before. That is why an oyster shell looks like many paper-thin layers pressed together. The oyster shell will conform to the surface it is next to, smooth if attached to a bottle, following the contours of a rock, even molding itself to the shape of a crab claw if attached to it."
New York Harbor,"Oysters need lime to grow, and no matter how rich the water is in nutrients, without the presence of lime growth cannot take place. Throwing the shells back into the water not only provides good material for seedlings looking for a surface to attach to, which has come to be known as cultch, but also enriches the growing environment of the water. The sea will break down the shell and the oyster will absorb the lime. The more lime that is available, the faster and thicker the shells will grow. The sooner an oyster has a thick shell, the more likely it is that it will survive its many enemies."
New Amsterdam,Hundreds of miles of natural oyster beds.
New York,New York was still an Eden where resources could be used with extravagance. Gowanus Bay in Brooklyn was particularly known for large oysters.
Gowanus Cove,"We found a good fire half way up the chimney of clear oak and hickory, of which they made not the least scruple in burning profusely. We let it penetrate thoroughly. There had already been thrown upon it to be roasted, a pailful of Guanes oysters, which are the best in the country. They are large and full, some of them not less than a foot in length."
Great South Bay,A huge natural oyster bed between Long Island and Fire Island.
Jamaica Bay,"Jamaica Bay, named not after the Caribbean island but from the Canarsee name Jameco, was rich in oysters, clams, and crabs, especially on the northern side, which is dotted with islands that appear only at low tide."
New York City,"The unused wharves, having seen no commerce, were covered with seaweed and barnacles."
Hudson River,"The Hudson River was particularly rich in both fresh- and saltwater species, including striped bass, shad, and sturgeon."
Hudson River,"The river is home to more than two hundred fish species—a stunning assortment of both fresh- and saltwater fish, like an aquarium that displays the wildlife of several lakes, a river, and the ocean in the same tank. Among the residents of the Hudson River are largemouth bass, herring, carp, white perch, yellow perch, menhaden, shiners, darters, sunfish, tomcod, and even some subtropical fish such as the mullet and the jack crevalle, which are more typical of Florida than of the Northeast. The Caribbean needlefish and pompano as well as mangrove snapper have been found in the lower Hudson. The lower half of the Hudson is a tidal estuary where typical river species such as trout and pike swim past ocean species including sea horses, dolphins, bluefish, shark, and an occasional intrepid whale. Two species of sturgeon that are classified endangered, striped bass and shad, despite man’s abuse, have stubbornly continued to return each spring through the Narrows and up the Hudson to spawn a new generation of seagoing fish in the river’s fresh waters."
Sandy Hook,"Bluefish are back, the striper are plentiful, and the sharks off of Sandy Hook are waiting for the water to get clean enough for their return."
Hudson River estuary,"Since more and more oysters are slowly turning up, they might conceivably someday cover most of the estuary’s shorelines again. "
Hudson River,"In the spring, the migratory fish return. Thousands of bumpy alligator-headed, primeval two-hundred-pound sturgeon; elegant silver-streaked striped bass, their stripes seemingly made for racing; and thick schools of radiant shad tear into the strong currents, while little baitfish, purposeless hangers-on caught up in all the exhilaration of the moment, struggle furiously along as best they can. They are all bumping shoulders, swatting tails, thousands and thousands of determined fish, putting their heads nose first into the same current, charging through the Narrows over to the oyster beds of Liberty and Ellis islands, while their sedentary partners, the oysters, wave their shells open and closed beneath them, pumping clean the water, the seething crowds above turning and racing toward Manhattan and the Hudson River, past the teeming and humming city, street by street to the picturesque upstate waters of their birth. Certainly anyone who could have seen that would have understood that the great and unnatural city was built at the site of a natural wonder, and that the lowly oysters working at the bottom were a treasure more precious than pearls."
